t,pos_deg,spd_erpm,cur_a,temp_c,err
1.5055036544799805,0.0,0.0,0.01,34,0
1.5254182815551758,0.0,0.0,0.02,34,0
1.5463111400604248,0.0,0.0,0.02,34,0
1.5656671524047852,0.0,0.0,-0.01,34,0
1.5860247611999512,0.0,0.0,-0.02,34,0
1.6055757999420166,0.0,0.0,0.03,34,0
1.625464677810669,0.0,0.0,0.03,34,0
1.6460440158843994,0.0,0.0,0.04,34,0
1.6659669876098633,0.0,0.0,-0.03,34,0
1.6854681968688965,0.0,0.0,-0.03,34,0
1.7055346965789795,0.0,0.0,-0.01,34,0
1.7255260944366455,0.0,0.0,-0.04,34,0
1.7468249797821045,0.0,0.0,-0.03,34,0
1.7660815715789795,0.0,0.0,-0.02,34,0
1.786311149597168,0.0,0.0,-0.02,34,0
1.8056304454803467,0.0,0.0,-0.02,34,0
1.8254916667938232,0.0,0.0,-0.02,34,0
1.8459126949310303,0.0,0.0,-0.03,34,0
1.8658182621002197,0.0,0.0,-0.02,34,0
1.8857109546661377,0.0,0.0,-0.01,34,0
1.9054486751556396,0.0,0.0,-0.01,34,0
1.925466537475586,0.0,0.0,-0.03,34,0
1.9454927444458008,0.0,0.0,-0.02,34,0
1.9658145904541016,0.0,0.0,-0.02,34,0
1.9857492446899414,0.0,0.0,-0.01,34,0
2.0054702758789062,0.0,0.0,-0.02,34,0
2.025655746459961,0.0,0.0,-0.01,34,0
2.0461394786834717,0.0,0.0,-0.01,34,0
2.0654659271240234,0.0,0.0,-0.01,34,0
2.0860066413879395,0.0,0.0,0.0,34,0
2.1056196689605713,0.0,0.0,0.0,34,0
2.125545024871826,0.0,0.0,0.0,34,0
2.145761489868164,0.0,0.0,-0.01,34,0
2.1658103466033936,0.0,0.0,-0.01,34,0
2.1860439777374268,0.0,0.0,0.0,34,0
2.2060015201568604,0.0,0.0,0.0,34,0
2.2254374027252197,0.0,0.0,0.0,34,0
2.245610237121582,0.0,0.0,0.0,34,0
2.2658610343933105,0.0,0.0,-0.03,34,0
2.286165952682495,0.0,0.0,-0.01,34,0
2.3054351806640625,0.0,0.0,0.0,34,0
2.3255248069763184,0.0,0.0,0.0,34,0
2.3461413383483887,0.0,0.0,-0.01,34,0
2.3660058975219727,0.0,0.0,0.0,34,0
2.3860716819763184,0.0,0.0,-0.02,34,0
2.4055447578430176,0.0,0.0,-0.01,34,0
2.4254202842712402,0.0,0.0,-0.02,34,0
2.446146011352539,0.0,0.0,0.0,34,0
2.465484857559204,0.0,0.0,-0.03,34,0
2.4856326580047607,0.0,0.0,-0.01,34,0
2.505533218383789,0.0,0.0,-0.02,34,0
2.525421380996704,0.0,0.0,-0.01,34,0
2.5459914207458496,0.0,0.0,-0.02,34,0
2.565608024597168,0.0,0.0,-0.01,34,0
2.585754632949829,0.0,0.0,-0.01,34,0
2.605466842651367,0.0,0.0,0.0,34,0
2.6254918575286865,0.0,0.0,-0.01,34,0
2.645718812942505,0.0,0.0,-0.01,34,0
2.6657726764678955,0.0,0.0,-0.01,34,0
2.685445785522461,0.0,0.0,-0.01,34,0
2.7053799629211426,0.0,0.0,-0.02,34,0
2.72601580619812,0.0,0.0,-0.02,34,0
2.7454874515533447,0.0,0.0,-0.02,34,0
2.765662670135498,0.0,0.0,0.0,34,0
2.785940647125244,0.0,0.0,-0.01,34,0
2.8055155277252197,0.0,0.0,0.0,34,0
2.826097011566162,0.0,0.0,0.0,34,0
2.8454036712646484,0.0,0.0,0.0,34,0
2.865622043609619,0.0,0.0,0.0,34,0
2.8859262466430664,0.0,0.0,0.0,34,0
2.9055073261260986,0.0,0.0,0.0,34,0
2.9254026412963867,0.0,0.0,0.0,34,0
2.945678472518921,0.0,0.0,0.0,34,0
2.9654340744018555,0.0,0.0,-0.01,34,0
2.9861786365509033,0.0,0.0,-0.01,34,0
